Boosted Post,Campaign Id,Campaign Name,Content Theme,Platform,Post Date,Post Time,Post Type,Target Audience,Clicks,Conversion Value Usd,Conversions,Cpc Usd,Ctr,Emoji Count,Engagement Rate,Engagements,Hashtag Count,Impressions,Reach,Sentiment Score,Spend Usd,Video Length Seconds,Word Count
真,CMP1004,Holiday Campaign 2025,Lifestyle,Facebook,2024/5/17,1899/12/30 12:15:00,Image,"Gen X (35-50, Mixed)",122,308.66,13,0.27,0.0238,9,0.0497,184,4,5136,3704,0.47,33.34,0,35
真,CMP1004,Holiday Campaign 2025,User Testimonial,LinkedIn,2024/5/26,1899/12/30 20:00:00,Story,"Gen Z (18-24, Urban)",124,2462.28,19,0.36,0.0235,1,0.0703,227,12,5268,3230,0.55,45.18,89,38
伪,CMP1004,Fall Campaign 2024,Behind-the-Scenes,Facebook,2024/5/28,1899/12/30 18:15:00,Carousel,"Gen Z (18-24, Urban)",190,2606.65,23,0.01,0.0191,5,0.0505,404,9,9961,8003,-0.14,2.25,0,28
伪,CMP1004,Spring Campaign 2024,Product Launch,X,2024/5/11,1899/12/30 12:45:00,Video,"Professionals (25-54, B2B)",42,733.65,6,0.01,0.0177,5,0.0709,142,15,2375,2003,0.69,0.52,106,26
真,CMP1004,Summer Campaign 2025,User Testimonial,Instagram,2024/5/28,1899/12/30 23:30:00,Reel,"Gen X (35-50, Mixed)",64,1239.36,10,0.12,0.0144,3,0.0257,93,5,4448,3619,-0.14,7.99,57,34
真,CMP1004,Summer Campaign 2025,User Testimonial,LinkedIn,2024/5/7,1899/12/30 7:15:00,Reel,"Parents (30-45, Suburban)",497,5159.1,60,0.15,0.0508,10,0.0939,756,4,9791,8054,-0.56,72.48,14,12
真,CMP1004,Fall Campaign 2025,Product Launch,Facebook,2024/5/19,1899/12/30 23:30:00,Video,"Millennials (25-34, Suburban)",196,757.97,12,0.02,0.0302,8,0.0592,290,15,6483,4900,1,4.32,87,38
真,CMP1004,Holiday Campaign 2024,Behind-the-Scenes,TikTok,2024/5/11,1899/12/30 17:30:00,Story,"Professionals (25-54, B2B)",106,713.3,9,1.11,0.0075,0,0.0204,181,8,14227,8860,0.67,117.92,37,28
真,CMP1004,Fall Campaign 2025,Promotion,LinkedIn,2024/5/2,1899/12/30 17:45:00,Carousel,"Professionals (25-54, B2B)",268,2767.7,47,0.11,0.024,5,0.0613,517,10,11155,8437,0,29.09,0,24
真,CMP1004,Back to School Campaign 2024,User Testimonial,TikTok,2024/5/19,1899/12/30 22:00:00,Video,"Gen X (35-50, Mixed)",76,440.9,5,0.37,0.0071,10,0.0336,243,15,10658,7242,0.3,28.31,75,48
伪,CMP1004,Holiday Campaign 2025,Lifestyle,X,2024/5/24,1899/12/30 21:30:00,Carousel,"Parents (30-45, Suburban)",231,4180.58,34,0.02,0.0254,10,0.0505,380,14,9085,7530,0.21,4.67,0,47
真,CMP1004,Spring Campaign 2025,User Testimonial,Instagram,2024/5/10,1899/12/30 11:00:00,Image,"Millennials (25-34, Suburban)",132,1294.51,19,0.47,0.0136,2,0.0299,192,8,9713,6423,-0.04,62.64,0,13
真,CMP1004,Spring Campaign 2024,Product Launch,TikTok,2024/5/8,1899/12/30 20:00:00,Carousel,"Gen X (35-50, Mixed)",87,1529.19,12,0.4,0.018,10,0.0618,207,10,4842,3350,0.34,35.07,0,38
真,CMP1004,Holiday Campaign 2024,Product Launch,LinkedIn,2024/5/17,1899/12/30 16:00:00,Image,"Gen X (35-50, Mixed)",202,3470.54,35,0.01,0.0412,5,0.0939,347,5,4908,3695,-0.41,1.19,0,8
真,CMP1004,Spring Campaign 2024,Promotion,Instagram,2024/5/20,1899/12/30 18:30:00,Story,"Millennials (25-34, Suburban)",70,723.65,12,0.19,0.0154,2,0.0412,118,2,4545,2861,-0.11,13.21,8,20
真,CMP1004,Back to School Campaign 2025,Product Launch,X,2024/5/22,1899/12/30 9:15:00,Story,"Gen Z (18-24, Urban)",41,138.25,3,0.55,0.0204,0,0.0752,92,10,2005,1223,0.07,22.66,87,21
伪,CMP1004,Holiday Campaign 2025,Promotion,Facebook,2024/5/18,1899/12/30 14:00:00,Video,"Professionals (25-54, B2B)",418,4261.74,72,0.03,0.0424,0,0.1034,817,0,9858,7905,0.05,10.64,42,39
真,CMP1004,Summer Campaign 2025,User Testimonial,X,2024/5/5,1899/12/30 22:45:00,Image,"Professionals (25-54, B2B)",43,422.72,4,0.39,0.025,8,0.0594,68,0,1721,1145,0.97,16.56,0,15
真,CMP1004,Fall Campaign 2024,Lifestyle,Facebook,2024/5/28,1899/12/30 16:45:00,Reel,"Gen Z (18-24, Urban)",116,1193.71,11,0.07,0.0273,6,0.1119,376,0,4249,3361,0.23,7.9,80,39
真,CMP1004,Holiday Campaign 2025,Behind-the-Scenes,LinkedIn,2024/5/7,1899/12/30 15:15:00,Story,"Gen Z (18-24, Urban)",218,3661.72,42,0.51,0.0117,7,0.0235,371,14,18583,15776,-0.59,110.38,64,16
真,CMP1004,Back to School Campaign 2025,Lifestyle,TikTok,2024/5/20,1899/12/30 17:30:00,Reel,"Gen Z (18-24, Urban)",703,7250.36,73,0.17,0.0596,2,0.1032,1078,14,11798,10447,0.35,116.25,65,10
真,CMP1004,Summer Campaign 2024,User Testimonial,TikTok,2024/5/28,1899/12/30 6:30:00,Carousel,"Gen X (35-50, Mixed)",98,204.77,9,0.23,0.036,0,0.0867,176,3,2722,2031,0.08,22.91,0,34
伪,CMP1004,Summer Campaign 2024,User Testimonial,Facebook,2024/5/3,1899/12/30 13:00:00,Video,"Millennials (25-34, Suburban)",45,276.85,7,0.1,0.0179,8,0.0386,83,3,2516,2149,0.26,4.42,63,24
伪,CMP1004,Back to School Campaign 2024,Lifestyle,X,2024/5/18,1899/12/30 15:00:00,Story,"Gen X (35-50, Mixed)",189,670.71,15,0.02,0.0512,5,0.1161,272,4,3693,2342,0.6,4.27,119,29
真,CMP1004,Back to School Campaign 2025,Lifestyle,TikTok,2024/5/15,1899/12/30 10:15:00,Video,"Gen Z (18-24, Urban)",52,392.9,10,0.48,0.0117,5,0.0468,142,7,4426,3034,0.26,24.95,50,12
伪,CMP1004,Spring Campaign 2024,Behind-the-Scenes,Facebook,2024/5/22,1899/12/30 12:45:00,Reel,"Professionals (25-54, B2B)",20,39.71,2,0.07,0.0372,5,0.0882,41,11,538,465,0.37,1.39,114,29
伪,CMP1004,Back to School Campaign 2024,Promotion,Instagram,2024/5/10,1899/12/30 17:15:00,Video,"Parents (30-45, Suburban)",103,1723.05,12,0.04,0.0223,10,0.06,172,8,4629,2867,0.7,4.08,25,40
真,CMP1004,Fall Campaign 2025,Promotion,Facebook,2024/5/15,1899/12/30 22:15:00,Reel,"Gen X (35-50, Mixed)",244,896.33,15,0.03,0.0302,2,0.0933,565,5,8081,6058,-0.56,6.81,81,27
真,CMP1004,Fall Campaign 2024,Promotion,Instagram,2024/5/25,1899/12/30 14:45:00,Image,"Parents (30-45, Suburban)",117,2390.75,22,0.29,0.0411,8,0.0891,169,2,2850,1897,0.42,33.35,0,19
真,CMP1004,Fall Campaign 2025,Behind-the-Scenes,Instagram,2024/5/13,1899/12/30 14:15:00,Story,"Millennials (25-34, Suburban)",255,3243.95,36,0.16,0.0251,4,0.0874,544,12,10152,6223,-0.28,40.68,101,40
真,CMP1004,Spring Campaign 2025,User Testimonial,TikTok,2024/5/27,1899/12/30 20:30:00,Carousel,"Professionals (25-54, B2B)",165,415.79,20,0.19,0.0187,9,0.066,447,10,8829,6777,0.49,31.49,0,37
伪,CMP1004,Fall Campaign 2024,User Testimonial,Facebook,2024/5/18,1899/12/30 21:15:00,Story,"Professionals (25-54, B2B)",123,462.02,6,0.11,0.0133,10,0.0382,268,3,9227,7018,-0.19,13.73,18,33
真,CMP1004,Summer Campaign 2024,Promotion,Facebook,2024/5/18,1899/12/30 23:15:00,Story,"Gen X (35-50, Mixed)",284,375.76,27,0.19,0.0293,4,0.077,621,14,9689,8064,0.37,55,63,25
真,CMP1004,Summer Campaign 2025,Promotion,TikTok,2024/5/28,1899/12/30 7:45:00,Carousel,"Gen Z (18-24, Urban)",236,777.78,15,0.22,0.0327,10,0.0643,348,12,7220,5413,0.37,52.99,0,11
真,CMP1004,Summer Campaign 2025,Lifestyle,Facebook,2024/5/12,1899/12/30 11:00:00,Carousel,"Millennials (25-34, Suburban)",123,780.25,14,0.1,0.0176,10,0.0405,190,11,6970,4686,-0.47,11.73,0,27
伪,CMP1004,Summer Campaign 2025,Promotion,X,2024/5/24,1899/12/30 7:45:00,Video,"Parents (30-45, Suburban)",70,549.67,4,0.14,0.0136,5,0.0382,128,13,5142,3351,0.51,9.83,10,45
真,CMP1004,Back to School Campaign 2024,User Testimonial,TikTok,2024/5/19,1899/12/30 15:00:00,Reel,"Gen Z (18-24, Urban)",569,11564.85,106,0.04,0.054,7,0.1123,942,8,10528,8388,0.53,24.09,106,32
真,CMP1004,Fall Campaign 2024,Lifestyle,TikTok,2024/5/8,1899/12/30 20:30:00,Image,"Millennials (25-34, Suburban)",48,593.63,5,0.07,0.0199,4,0.0488,81,2,2408,1660,0.41,3.59,0,14
真,CMP1004,Holiday Campaign 2024,Promotion,X,2024/5/22,1899/12/30 22:45:00,Carousel,"Gen Z (18-24, Urban)",111,708.15,20,0.42,0.0099,6,0.0498,344,3,11218,6904,-0.29,46.59,0,20
真,CMP1004,Spring Campaign 2025,Behind-the-Scenes,X,2024/5/26,1899/12/30 11:00:00,Image,"Parents (30-45, Suburban)",244,2061.82,41,0.01,0.0356,3,0.0751,442,7,6857,5886,0.51,1.72,0,37
伪,CMP1004,Summer Campaign 2025,Lifestyle,LinkedIn,2024/5/23,1899/12/30 14:00:00,Carousel,"Professionals (25-54, B2B)",264,1768.94,42,0.04,0.0314,8,0.102,714,9,8409,7001,0.22,11.17,0,48
真,CMP1004,Spring Campaign 2024,User Testimonial,X,2024/5/10,1899/12/30 19:15:00,Video,"Millennials (25-34, Suburban)",68,445.89,7,0.66,0.0056,3,0.0208,164,1,12193,7866,0.13,45.05,120,10
真,CMP1004,Spring Campaign 2024,Behind-the-Scenes,TikTok,2024/5/26,1899/12/30 18:45:00,Carousel,"Gen Z (18-24, Urban)",888,5125.11,116,0.29,0.0395,8,0.1008,1374,15,22478,13630,0.53,260.09,0,10
真,CMP1004,Back to School Campaign 2024,Behind-the-Scenes,Facebook,2024/5/22,1899/12/30 15:30:00,Carousel,"Gen Z (18-24, Urban)",526,1658.09,69,0.02,0.0504,4,0.098,755,8,10436,7707,0.38,9.49,0,46
真,CMP1004,Fall Campaign 2025,User Testimonial,Instagram,2024/5/13,1899/12/30 14:15:00,Story,"Millennials (25-34, Suburban)",630,7567.62,64,0.25,0.0619,10,0.1124,907,11,10181,8072,-0.52,158.33,15,40
真,CMP1005,Fall Campaign 2024,Product Launch,Facebook,2024/6/5,1899/12/30 12:30:00,Story,"Professionals (25-54, B2B)",128,732,9,0.06,0.0188,0,0.0388,217,9,6808,5594,-0.17,8.17,51,49
真,CMP1005,Summer Campaign 2025,Product Launch,Instagram,2024/6/1,1899/12/30 14:15:00,Carousel,"Professionals (25-54, B2B)",40,360.6,5,0.24,0.0156,6,0.0454,71,9,2560,1563,-0.42,9.64,0,48
伪,CMP1005,Holiday Campaign 2025,User Testimonial,X,2024/6/28,1899/12/30 23:00:00,Reel,"Professionals (25-54, B2B)",204,1943.38,17,0.06,0.0202,5,0.0576,357,10,10078,6199,0.96,11.24,83,40
真,CMP1005,Holiday Campaign 2024,Promotion,TikTok,2024/6/3,1899/12/30 19:00:00,Story,"Millennials (25-34, Suburban)",214,671.44,14,0.29,0.0228,8,0.069,519,11,9392,7527,-0.09,62.78,93,22
真,CMP1005,Back to School Campaign 2025,Product Launch,LinkedIn,2024/6/12,1899/12/30 23:15:00,Image,"Parents (30-45, Suburban)",50,704.29,5,0.71,0.0265,5,0.109,139,15,1889,1275,0.45,35.75,0,23
真,CMP1005,Holiday Campaign 2024,Lifestyle,TikTok,2024/6/13,1899/12/30 9:30:00,Carousel,"Professionals (25-54, B2B)",270,744.98,13,0.13,0.0238,2,0.0811,642,6,11359,7912,0.02,34.95,0,32
真,CMP1005,Fall Campaign 2025,User Testimonial,Instagram,2024/6/16,1899/12/30 21:15:00,Carousel,"Millennials (25-34, Suburban)",105,2259.33,17,0.17,0.0101,1,0.0277,185,5,10346,6683,0.19,18.23,0,31
伪,CMP1005,Spring Campaign 2024,Lifestyle,X,2024/6/27,1899/12/30 10:15:00,Story,"Gen Z (18-24, Urban)",110,781.29,20,0.04,0.0148,6,0.0279,163,1,7448,5849,-0.51,4.76,19,41
真,CMP1005,Spring Campaign 2025,Behind-the-Scenes,TikTok,2024/6/22,1899/12/30 19:00:00,Reel,"Gen X (35-50, Mixed)",224,613.02,27,0.04,0.0432,7,0.0869,325,6,5184,3739,0.43,8.57,56,30
真,CMP1005,Summer Campaign 2025,Behind-the-Scenes,X,2024/6/10,1899/12/30 10:30:00,Carousel,"Gen Z (18-24, Urban)",342,1569.74,18,0.07,0.0313,1,0.0963,639,14,10935,6633,-0.18,23.44,0,6
真,CMP1005,Summer Campaign 2025,Product Launch,LinkedIn,2024/6/3,1899/12/30 19:30:00,Story,"Gen X (35-50, Mixed)",204,3432.26,38,0.11,0.0186,6,0.0445,439,8,10956,9860,0.32,22.82,81,18
真,CMP1005,Spring Campaign 2025,Lifestyle,X,2024/6/16,1899/12/30 8:15:00,Story,"Parents (30-45, Suburban)",237,552.47,18,0.41,0.017,0,0.056,486,12,13932,8677,-0.17,97.12,64,48
真,CMP1005,Spring Campaign 2024,Product Launch,Facebook,2024/6/3,1899/12/30 17:45:00,Image,"Gen Z (18-24, Urban)",335,4369.13,55,0.01,0.0491,7,0.1045,593,11,6825,5675,0.33,2.89,0,46
真,CMP1005,Fall Campaign 2024,Behind-the-Scenes,Instagram,2024/6/26,1899/12/30 19:00:00,Reel,"Professionals (25-54, B2B)",23,591.09,4,0.06,0.0121,0,0.0565,72,13,1899,1274,0.9,1.37,111,42
真,CMP1005,Holiday Campaign 2025,Behind-the-Scenes,TikTok,2024/6/10,1899/12/30 16:45:00,Video,"Millennials (25-34, Suburban)",205,5035.33,36,0.09,0.0283,3,0.0636,365,11,7250,5740,0.13,19.05,31,19
真,CMP1005,Fall Campaign 2025,Behind-the-Scenes,Facebook,2024/6/3,1899/12/30 7:15:00,Carousel,"Gen Z (18-24, Urban)",16,115.48,2,0.01,0.0148,0,0.0414,30,6,1083,724,0.7,0.17,0,28
伪,CMP1005,Fall Campaign 2024,Promotion,Facebook,2024/6/25,1899/12/30 10:00:00,Video,"Gen Z (18-24, Urban)",12,0,0,0.01,0.0075,4,0.0254,25,11,1609,983,-0.14,0.13,68,36
伪,CMP1005,Holiday Campaign 2025,Behind-the-Scenes,Instagram,2024/6/24,1899/12/30 23:45:00,Video,"Parents (30-45, Suburban)",30,330.04,5,0.01,0.0327,2,0.0769,57,13,917,741,-0.4,0.37,110,23
真,CMP1005,Back to School Campaign 2025,Promotion,X,2024/6/3,1899/12/30 19:30:00,Carousel,"Millennials (25-34, Suburban)",771,1899.25,127,0.28,0.0428,10,0.0968,1489,5,18020,15390,-0.81,217.27,0,13
真,CMP1005,Summer Campaign 2024,Promotion,Instagram,2024/6/26,1899/12/30 21:30:00,Image,"Professionals (25-54, B2B)",146,1378.33,12,0.25,0.0129,6,0.0362,346,8,11355,9548,-0.95,37.2,0,24
伪,CMP1005,Fall Campaign 2025,Product Launch,TikTok,2024/6/24,1899/12/30 9:00:00,Story,"Parents (30-45, Suburban)",14,82.64,2,0.2,0.0363,6,0.1136,30,9,386,264,0.22,2.76,38,20
伪,CMP1005,Spring Campaign 2024,Behind-the-Scenes,Instagram,2024/6/28,1899/12/30 10:30:00,Reel,"Gen Z (18-24, Urban)",427,1145.86,68,0.04,0.0513,4,0.1074,659,14,8330,6136,0.75,15.82,84,16
真,CMP1005,Fall Campaign 2024,Product Launch,LinkedIn,2024/6/25,1899/12/30 21:30:00,Reel,"Millennials (25-34, Suburban)",319,2029.5,42,0.44,0.0224,10,0.0593,717,12,14238,12100,-0.32,140.68,99,13
伪,CMP1005,Holiday Campaign 2025,User Testimonial,TikTok,2024/6/21,1899/12/30 15:30:00,Story,"Parents (30-45, Suburban)",82,353.69,5,0.09,0.0153,4,0.0397,129,12,5357,3246,0.22,7.6,120,36
伪,CMP1005,Back to School Campaign 2024,Behind-the-Scenes,Facebook,2024/6/25,1899/12/30 12:00:00,Reel,"Gen X (35-50, Mixed)",337,1802.67,48,0,0.0424,1,0.1198,591,5,7954,4932,1,0.28,44,31
真,CMP1005,Fall Campaign 2025,Behind-the-Scenes,TikTok,2024/6/18,1899/12/30 11:30:00,Story,"Gen Z (18-24, Urban)",834,8090.58,130,0.08,0.0667,3,0.1165,1249,0,12502,10717,-0.27,64.71,82,46
伪,CMP1005,Fall Campaign 2024,Lifestyle,Instagram,2024/6/17,1899/12/30 13:15:00,Story,"Professionals (25-54, B2B)",160,471.04,8,0.1,0.0255,10,0.0601,248,11,6278,4124,0.4,15.64,66,5
伪,CMP1005,Summer Campaign 2025,Product Launch,Facebook,2024/6/17,1899/12/30 12:15:00,Video,"Professionals (25-54, B2B)",49,291.26,9,0.47,0.0072,6,0.0226,112,7,6831,4946,0.56,23.07,107,24
伪,CMP1005,Summer Campaign 2025,Lifestyle,Facebook,2024/6/22,1899/12/30 14:30:00,Video,"Gen X (35-50, Mixed)",218,713.16,16,0.02,0.0463,8,0.1134,451,7,4713,3976,0.44,4.85,59,22
真,CMP1005,Fall Campaign 2024,Promotion,X,2024/6/22,1899/12/30 15:30:00,Carousel,"Gen X (35-50, Mixed)",119,1776.5,13,0.07,0.0208,2,0.0808,322,14,5712,3985,0.26,8.4,0,42
真,CMP1005,Summer Campaign 2024,Lifestyle,TikTok,2024/6/4,1899/12/30 6:30:00,Video,"Professionals (25-54, B2B)",155,232.93,9,0.34,0.015,0,0.0697,478,12,10342,6859,0.61,52.95,54,34
真,CMP1005,Back to School Campaign 2025,User Testimonial,TikTok,2024/6/28,1899/12/30 6:15:00,Image,"Millennials (25-34, Suburban)",159,2915.41,21,0.19,0.0224,5,0.0829,452,5,7094,5455,1,30.97,0,49
真,CMP1005,Holiday Campaign 2024,Product Launch,X,2024/6/23,1899/12/30 20:30:00,Image,"Millennials (25-34, Suburban)",256,2432.94,21,0.07,0.0279,10,0.0906,503,11,9171,5553,-0.16,17.87,0,29
真,CMP1005,Spring Campaign 2024,Lifestyle,Instagram,2024/6/11,1899/12/30 23:15:00,Carousel,"Gen X (35-50, Mixed)",555,1357.81,76,0.29,0.0275,0,0.0572,1029,9,20192,17982,-0.43,160.13,0,42
真,CMP1005,Holiday Campaign 2024,Product Launch,LinkedIn,2024/6/25,1899/12/30 9:15:00,Video,"Millennials (25-34, Suburban)",66,856.3,7,1.78,0.0064,1,0.0241,165,10,10256,6858,-0.07,117.28,44,10
真,CMP1005,Fall Campaign 2024,Behind-the-Scenes,X,2024/6/12,1899/12/30 23:15:00,Reel,"Gen Z (18-24, Urban)",180,2048.86,20,0.25,0.0167,9,0.0701,472,3,10790,6738,0.58,45,93,18
真,CMP1005,Holiday Campaign 2024,User Testimonial,Facebook,2024/6/7,1899/12/30 10:15:00,Reel,"Parents (30-45, Suburban)",155,208.24,12,0.26,0.0221,6,0.0666,342,2,7005,5134,0.25,40.02,100,24
真,CMP1005,Fall Campaign 2024,Promotion,X,2024/6/10,1899/12/30 9:15:00,Carousel,"Gen X (35-50, Mixed)",37,148.28,4,2.02,0.0069,2,0.0221,88,1,5401,3973,0.06,74.75,0,22
伪,CMP1005,Spring Campaign 2025,Promotion,Facebook,2024/6/28,1899/12/30 22:30:00,Video,"Gen X (35-50, Mixed)",91,1389.71,10,0.05,0.0214,7,0.0425,134,14,4248,3154,0.83,4.93,55,11
真,CMP1005,Back to School Campaign 2025,Promotion,LinkedIn,2024/6/28,1899/12/30 20:45:00,Reel,"Millennials (25-34, Suburban)",350,8058.04,66,0.11,0.0361,8,0.0888,652,2,9685,7346,-0.21,38.4,37,47
伪,CMP1005,Summer Campaign 2024,Lifestyle,LinkedIn,2024/6/21,1899/12/30 19:30:00,Reel,"Professionals (25-54, B2B)",444,4367.37,64,0.01,0.0502,3,0.1037,693,1,8836,6682,-0.17,2.98,22,15
真,CMP1005,Spring Campaign 2024,Promotion,X,2024/6/13,1899/12/30 21:45:00,Carousel,"Millennials (25-34, Suburban)",314,1090.94,43,0.42,0.0294,8,0.0896,748,5,10689,8350,-0.18,130.85,0,40
真,CMP1005,Holiday Campaign 2025,Behind-the-Scenes,X,2024/6/22,1899/12/30 18:30:00,Video,"Parents (30-45, Suburban)",37,493.45,6,0.09,0.0063,6,0.0227,88,4,5859,3873,-0.11,3.17,13,39
真,CMP1005,Fall Campaign 2025,Product Launch,X,2024/6/21,1899/12/30 23:45:00,Carousel,"Parents (30-45, Suburban)",557,1167.15,46,0.29,0.0376,8,0.0953,1148,4,14809,12041,-0.23,161.35,0,24
真,CMP1005,Holiday Campaign 2025,Behind-the-Scenes,Facebook,2024/6/10,1899/12/30 14:30:00,Carousel,"Millennials (25-34, Suburban)",207,4031,29,0.25,0.0365,4,0.0828,401,13,5676,4845,0.49,50.75,0,21
真,CMP1005,Back to School Campaign 2025,User Testimonial,X,2024/6/27,1899/12/30 23:00:00,Carousel,"Parents (30-45, Suburban)",37,857.61,7,0.17,0.0078,7,0.0221,80,10,4769,3626,-0.97,6.13,0,5
伪,CMP1005,Fall Campaign 2025,Lifestyle,X,2024/6/14,1899/12/30 23:15:00,Video,"Gen Z (18-24, Urban)",89,1650.98,12,0.13,0.009,5,0.0283,191,13,9867,6738,-1,11.64,25,47
伪,CMP1005,Summer Campaign 2025,User Testimonial,LinkedIn,2024/6/23,1899/12/30 7:15:00,Story,"Millennials (25-34, Suburban)",12,52.32,2,0.41,0.0141,3,0.0612,39,1,849,637,0.65,4.96,116,28
真,CMP1005,Summer Campaign 2024,Promotion,TikTok,2024/6/11,1899/12/30 12:45:00,Video,"Gen X (35-50, Mixed)",150,2178.42,23,0.09,0.0363,3,0.1063,327,9,4136,3075,0.13,13.26,95,42
真,CMP1005,Back to School Campaign 2025,Promotion,TikTok,2024/6/20,1899/12/30 10:15:00,Video,"Gen X (35-50, Mixed)",57,148.85,6,0.23,0.0097,6,0.0276,102,12,5871,3693,-0.1,12.96,17,10
真,CMP1005,Spring Campaign 2024,Lifestyle,Facebook,2024/6/9,1899/12/30 23:30:00,Story,"Millennials (25-34, Suburban)",241,1006.59,21,0.02,0.0563,2,0.1073,393,11,4278,3662,0.01,3.85,61,37
伪,CMP1005,Back to School Campaign 2025,Promotion,TikTok,2024/6/21,1899/12/30 8:15:00,Story,"Millennials (25-34, Suburban)",51,935.34,10,0.01,0.0512,3,0.1146,91,4,997,794,0.75,0.51,85,48
伪,CMP1005,Fall Campaign 2024,Lifestyle,X,2024/6/10,1899/12/30 16:45:00,Story,"Professionals (25-54, B2B)",175,1383.09,11,0.02,0.0371,4,0.107,384,3,4715,3589,0.47,3.83,115,23
真,CMP1005,Back to School Campaign 2024,Lifestyle,LinkedIn,2024/6/11,1899/12/30 19:00:00,Image,"Parents (30-45, Suburban)",703,13986.46,127,0.15,0.0498,10,0.1016,1234,8,14127,12145,-0.72,103.85,0,47
真,CMP1005,Back to School Campaign 2024,Product Launch,X,2024/6/5,1899/12/30 13:45:00,Video,"Millennials (25-34, Suburban)",252,1611.61,29,0.08,0.0252,3,0.1007,752,4,9987,7468,-0.04,20.71,73,34
真,CMP1005,Summer Campaign 2025,User Testimonial,LinkedIn,2024/6/9,1899/12/30 7:00:00,Carousel,"Parents (30-45, Suburban)",100,314.3,10,0.31,0.0215,3,0.0967,280,14,4657,2897,0.92,30.89,0,24
真,CMP1005,Holiday Campaign 2025,Lifestyle,TikTok,2024/6/9,1899/12/30 23:00:00,Story,"Professionals (25-54, B2B)",211,3679.4,37,0.2,0.0409,7,0.1166,507,7,5154,4347,1,41.24,72,42
伪,CMP1005,Back to School Campaign 2024,Promotion,Instagram,2024/6/6,1899/12/30 8:30:00,Video,"Parents (30-45, Suburban)",153,1090.88,25,0.01,0.0163,0,0.035,294,5,9405,8410,0.2,1.87,29,6
真,CMP1005,Summer Campaign 2025,Behind-the-Scenes,Facebook,2024/6/1,1899/12/30 21:15:00,Reel,"Professionals (25-54, B2B)",63,187.71,10,0.61,0.0055,6,0.0231,182,12,11379,7870,-0.23,38.71,14,32
伪,CMP1005,Fall Campaign 2024,User Testimonial,TikTok,2024/6/16,1899/12/30 8:15:00,Story,"Parents (30-45, Suburban)",144,2818.18,23,0.02,0.0228,2,0.048,234,12,6308,4872,0.5,2.27,89,10
真,CMP1005,Holiday Campaign 2024,User Testimonial,X,2024/6/12,1899/12/30 16:00:00,Carousel,"Gen X (35-50, Mixed)",418,556.98,34,0.25,0.0263,4,0.0929,1327,12,15884,14278,0.34,105.81,0,6
真,CMP1005,Spring Campaign 2024,Product Launch,Facebook,2024/6/11,1899/12/30 17:30:00,Story,"Millennials (25-34, Suburban)",284,468.68,45,0.35,0.0193,4,0.0702,826,14,14721,11771,0.42,99.02,49,44
伪,CMP1005,Back to School Campaign 2024,Promotion,LinkedIn,2024/6/18,1899/12/30 17:00:00,Video,"Millennials (25-34, Suburban)",40,382.3,7,0.3,0.0108,10,0.0227,75,9,3718,3297,-0.1,12.14,93,34
真,CMP1005,Spring Campaign 2025,Lifestyle,LinkedIn,2024/6/20,1899/12/30 10:30:00,Image,"Parents (30-45, Suburban)",130,1141.64,11,0.43,0.0136,7,0.0267,206,8,9579,7726,-0.39,55.76,0,50
真,CMP1005,Holiday Campaign 2025,Lifestyle,TikTok,2024/6/18,1899/12/30 15:30:00,Video,"Gen Z (18-24, Urban)",106,823.09,10,1.29,0.0119,10,0.057,319,15,8880,5599,-0.05,136.54,98,14
真,CMP1005,Back to School Campaign 2024,Promotion,TikTok,2024/6/12,1899/12/30 7:45:00,Carousel,"Gen Z (18-24, Urban)",286,1118.91,22,0.1,0.0344,9,0.089,635,4,8305,7133,-0.36,29.59,0,39
伪,CMP1005,Spring Campaign 2024,Behind-the-Scenes,X,2024/6/15,1899/12/30 20:15:00,Carousel,"Parents (30-45, Suburban)",59,432.34,4,0.03,0.0295,6,0.1005,143,12,2003,1423,0.15,1.82,0,40
伪,CMP1005,Summer Campaign 2025,Promotion,X,2024/6/10,1899/12/30 8:15:00,Image,"Gen X (35-50, Mixed)",305,4406.91,42,0.01,0.0618,7,0.1143,487,8,4937,4261,0.55,2.15,0,5
真,CMP1005,Summer Campaign 2025,Product Launch,LinkedIn,2024/6/1,1899/12/30 14:00:00,Image,"Gen Z (18-24, Urban)",138,284.93,16,0.05,0.0164,1,0.0659,371,15,8394,5630,0.21,7.29,0,26
真,CMP1005,Fall Campaign 2025,Promotion,Facebook,2024/6/16,1899/12/30 17:00:00,Reel,"Millennials (25-34, Suburban)",435,846.69,56,0.21,0.0432,7,0.1054,700,10,10066,6644,0.22,93.14,93,31
真,CMP1005,Spring Campaign 2025,Lifestyle,TikTok,2024/6/13,1899/12/30 14:15:00,Video,"Gen X (35-50, Mixed)",345,639.29,47,0.42,0.031,10,0.1115,1024,12,11142,9187,1,146.39,101,40
真,CMP1005,Fall Campaign 2024,Behind-the-Scenes,LinkedIn,2024/6/7,1899/12/30 11:00:00,Reel,"Parents (30-45, Suburban)",112,428.06,20,0.56,0.0194,0,0.0641,226,12,5776,3528,-0.19,62.66,93,45
真,CMP1005,Back to School Campaign 2024,Product Launch,Facebook,2024/6/5,1899/12/30 15:30:00,Image,"Millennials (25-34, Suburban)",154,2668.66,19,0.01,0.0235,1,0.0705,302,7,6562,4286,0.2,1.55,0,11
